time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449100000	19.0355	16.7663	4.61109	2.14026	0.563445	lidar	0.415888	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8844	16.957	4.59097	2.19109	0.599691	radar	7.27821	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6947	17.2159	4.78797	2.22797	0.606397	lidar	2.26913	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5865	17.4175	4.79528	2.22721	0.560467	radar	5.40438	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3627	17.6231	4.91488	2.27458	0.577817	lidar	4.04409	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2223	17.8151	4.91484	2.28575	0.550438	radar	2.47241	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0908	17.9962	4.87075	2.30467	0.542818	lidar	0.900388	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9174	18.1514	4.83371	2.34326	0.558709	radar	1.87529	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7946	18.2818	4.69956	2.36583	0.553882	lidar	1.03322	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6639	18.4582	4.67008	2.37646	0.534089	radar	6.73374	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4579	18.6488	4.77255	2.40586	0.536496	lidar	0.566529	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2809	18.7886	4.74009	2.43775	0.543043	radar	1.66019	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1232	18.9194	4.67077	2.46324	0.541585	lidar	0.261731	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9551	19.0893	4.68467	2.47737	0.526066	radar	3.2224	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.735	19.2074	4.70087	2.5168	0.537558	lidar	2.64239	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5425	19.3636	4.7344	2.53926	0.534415	radar	3.24693	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3049	19.5338	4.85722	2.56519	0.533515	lidar	0.804942	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0851	19.6179	4.82333	2.61006	0.554133	radar	9.98035	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8764	19.7629	4.85729	2.63104	0.548157	lidar	0.738631	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6912	19.8821	4.786	2.64268	0.522783	radar	3.52337	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4498	20.0405	4.89846	2.66165	0.516097	lidar	1.24127	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2319	20.1866	4.93235	2.67391	0.499673	radar	5.81744	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0502	20.3094	4.87868	2.68852	0.490834	lidar	2.10977	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8199	20.3949	4.87842	2.72112	0.49952	radar	1.94294	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6053	20.5108	4.88316	2.73933	0.493595	lidar	0.7013	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
